nohup: ignoring input
[exp_hsv] seed=0  device=cuda  colorspace=hsv  normalization=zscore
/home/stud/gnjinkap/miniforge3/envs/thesis/lib/python3.11/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Epoch 008/50 | train_loss=0.4628  train_acc=0.8397 | val_loss=0.4669  val_acc=0.8414 | 6.6s
Epoch 009/50 | train_loss=0.4278  train_acc=0.8527 | val_loss=0.4544  val_acc=0.8442 | 6.6s
Epoch 010/50 | train_loss=0.3938  train_acc=0.8657 | val_loss=0.4571  val_acc=0.8411 | 6.6s
Epoch 011/50 | train_loss=0.3639  train_acc=0.8753 | val_loss=0.4625  val_acc=0.8450 | 6.6s
Epoch 012/50 | train_loss=0.3406  train_acc=0.8809 | val_loss=0.4126  val_acc=0.8582 | 6.6s
Epoch 013/50 | train_loss=0.3203  train_acc=0.8898 | val_loss=0.4011  val_acc=0.8638 | 6.6s
Epoch 014/50 | train_loss=0.2936  train_acc=0.8987 | val_loss=0.4291  val_acc=0.8619 | 6.6s
Epoch 015/50 | train_loss=0.2779  train_acc=0.9019 | val_loss=0.3923  val_acc=0.8677 | 6.6s
Epoch 016/50 | train_loss=0.2582  train_acc=0.9110 | val_loss=0.4130  val_acc=0.8644 | 6.6s
Epoch 017/50 | train_loss=0.2419  train_acc=0.9161 | val_loss=0.4109  val_acc=0.8694 | 6.6s
Epoch 018/50 | train_loss=0.2301  train_acc=0.9200 | val_loss=0.3962  val_acc=0.8738 | 6.6s
Epoch 019/50 | train_loss=0.2152  train_acc=0.9245 | val_loss=0.3836  val_acc=0.8758 | 6.6s
Epoch 020/50 | train_loss=0.2025  train_acc=0.9300 | val_loss=0.3891  val_acc=0.8772 | 6.6s
Epoch 021/50 | train_loss=0.1864  train_acc=0.9351 | val_loss=0.3977  val_acc=0.8765 | 6.6s
Epoch 022/50 | train_loss=0.1774  train_acc=0.9388 | val_loss=0.4032  val_acc=0.8754 | 6.6s
Epoch 023/50 | train_loss=0.1682  train_acc=0.9414 | val_loss=0.4002  val_acc=0.8799 | 6.5s
Epoch 024/50 | train_loss=0.1626  train_acc=0.9440 | val_loss=0.4228  val_acc=0.8782 | 6.6s
Epoch 025/50 | train_loss=0.1523  train_acc=0.9470 | val_loss=0.4296  val_acc=0.8745 | 6.6s
Epoch 026/50 | train_loss=0.0934  train_acc=0.9685 | val_loss=0.3619  val_acc=0.8962 | 6.6s
Epoch 027/50 | train_loss=0.0751  train_acc=0.9748 | val_loss=0.3724  val_acc=0.8960 | 6.6s
Epoch 028/50 | train_loss=0.0689  train_acc=0.9763 | val_loss=0.3753  val_acc=0.8976 | 6.6s
Epoch 029/50 | train_loss=0.0621  train_acc=0.9786 | val_loss=0.3831  val_acc=0.8994 | 6.6s
Epoch 030/50 | train_loss=0.0582  train_acc=0.9795 | val_loss=0.3880  val_acc=0.8974 | 6.5s
Epoch 031/50 | train_loss=0.0527  train_acc=0.9819 | val_loss=0.3929  val_acc=0.8974 | 6.6s
Epoch 032/50 | train_loss=0.0493  train_acc=0.9834 | val_loss=0.4048  val_acc=0.8974 | 6.5s
Epoch 033/50 | train_loss=0.0476  train_acc=0.9835 | val_loss=0.4104  val_acc=0.8986 | 6.6s
Epoch 034/50 | train_loss=0.0447  train_acc=0.9844 | val_loss=0.4079  val_acc=0.8963 | 6.6s
Epoch 035/50 | train_loss=0.0411  train_acc=0.9859 | val_loss=0.4168  val_acc=0.8998 | 6.6s
Epoch 036/50 | train_loss=0.0404  train_acc=0.9860 | val_loss=0.4256  val_acc=0.8987 | 6.6s
Epoch 037/50 | train_loss=0.0379  train_acc=0.9874 | val_loss=0.4265  val_acc=0.8987 | 6.6s
Epoch 038/50 | train_loss=0.0358  train_acc=0.9879 | val_loss=0.4336  val_acc=0.8969 | 6.6s
Epoch 039/50 | train_loss=0.0354  train_acc=0.9879 | val_loss=0.4386  val_acc=0.8972 | 6.6s
Epoch 040/50 | train_loss=0.0321  train_acc=0.9892 | val_loss=0.4488  val_acc=0.8987 | 6.6s
Epoch 041/50 | train_loss=0.0336  train_acc=0.9882 | val_loss=0.4466  val_acc=0.8988 | 6.6s
Epoch 042/50 | train_loss=0.0310  train_acc=0.9895 | val_loss=0.4448  val_acc=0.8995 | 6.5s
Epoch 043/50 | train_loss=0.0288  train_acc=0.9900 | val_loss=0.4481  val_acc=0.9013 | 6.6s
Epoch 044/50 | train_loss=0.0283  train_acc=0.9903 | val_loss=0.4559  val_acc=0.8986 | 6.6s
Epoch 045/50 | train_loss=0.0286  train_acc=0.9904 | val_loss=0.4482  val_acc=0.8992 | 6.6s
Epoch 046/50 | train_loss=0.0254  train_acc=0.9910 | val_loss=0.4582  val_acc=0.8986 | 6.6s
Epoch 047/50 | train_loss=0.0252  train_acc=0.9910 | val_loss=0.4704  val_acc=0.8981 | 6.6s
Epoch 048/50 | train_loss=0.0229  train_acc=0.9925 | val_loss=0.4772  val_acc=0.8982 | 6.6s
Epoch 049/50 | train_loss=0.0239  train_acc=0.9917 | val_loss=0.4661  val_acc=0.8984 | 6.6s
Epoch 050/50 | train_loss=0.0230  train_acc=0.9917 | val_loss=0.4773  val_acc=0.8986 | 6.6s

Best val accuracy : 0.9013
Results saved to  : results_v9/exp_hsv_seed1
[exp_hsv] seed=2  device=cuda  colorspace=hsv  normalization=zscore
/home/stud/gnjinkap/miniforge3/envs/thesis/lib/python3.11/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Epoch 001/50 | train_loss=1.7741  train_acc=0.3250 | val_loss=1.4829  val_acc=0.4355 | 6.6s
Epoch 002/50 | train_loss=1.3862  train_acc=0.4958 | val_loss=1.2509  val_acc=0.5490 | 6.2s
Epoch 003/50 | train_loss=1.1907  train_acc=0.5749 | val_loss=1.0866  val_acc=0.6097 | 6.2s
Epoch 004/50 | train_loss=1.0628  train_acc=0.6233 | val_loss=1.0055  val_acc=0.6477 | 6.2s
Epoch 005/50 | train_loss=0.9777  train_acc=0.6596 | val_loss=0.9215  val_acc=0.6814 | 6.2s
Epoch 006/50 | train_loss=0.9031  train_acc=0.6875 | val_loss=0.8569  val_acc=0.6983 | 6.2s
Epoch 007/50 | train_loss=0.8514  train_acc=0.7043 | val_loss=0.8048  val_acc=0.7205 | 6.2s
Epoch 008/50 | train_loss=0.8065  train_acc=0.7217 | val_loss=0.7863  val_acc=0.7402 | 6.2s
